routing,method,입력 parameter,Viewer 또는 다음 행선지,넘겨줄 파라메터,파일 이름
/ch08/customer,,,/jw/ch08/customer,,
list,get,-,listView (JSP),List<Customer>,java /ch08/customer/ListViewer.java
register,get,-,register.html (HTML),,web /ch08/customer/register.html
,post,"uid, uname",list (Servlet),, 
update,get,uid,updateView(JSP),Customer,java /ch08/customer/UpdateViewer.java
,post,"uid, uname",list (Servlet),,
delete,get,uid,list (Servlet),,
